country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
India,0.6551724137931034,-319,70,29,19,3.2471131639722866,1
Pakistan,0.4827586206896552,232,-6,29,14,2.7662813454738644,2
South Africa,0.5416666666666666,320,-8,24,13,2.750153159053594,3
Australia,0.5789473684210527,333,-12,19,11,2.5919378247181792,4
Sri Lanka,0.5,170,7,20,10,2.5337376838572547,5
England,0.5,-254,9,20,10,2.066602203669383,6
Bangladesh,0.6,161,-9,5,3,1.9406458166504221,7
New Zealand,0.42857142857142855,29,-10,14,6,1.8486641173259504,8
West Indies,0.4444444444444444,-43,-19,18,8,1.8367750271238785,9
Ireland,0.5,88,-7,4,2,1.6891534987691381,10
Zimbabwe,0.23076923076923078,-533,-14,13,3,0.8158139033360796,11
Scotland,0.0,-96,-1,2,0,0.7068661286555777,12
Canada,0.0,0,-15,2,0,0.6604172613332642,13
